Currency,Date,Open,High,Low,Close,Volume,Market Cap
ripple,"May 21, 2017",0.353164,0.367636,0.332222,0.336201,"129,765,000","12,954,677,858"
ripple,"May 20, 2017",0.328631,0.370361,0.303941,0.351634,"237,792,000","13,549,350,520"
ripple,"May 19, 2017",0.363505,0.363505,0.300794,0.327801,"269,894,016","12,631,004,538"
ripple,"May 18, 2017",0.394931,0.408012,0.331116,0.364869,"237,644,000","14,059,328,662"
ripple,"May 17, 2017",0.355124,0.435170,0.326358,0.394132,"470,974,016","15,097,570,678"
ripple,"May 16, 2017",0.269824,0.349861,0.269824,0.349861,"440,881,984","13,401,731,336"
ripple,"May 15, 2017",0.220069,0.270720,0.220069,0.270720,"223,923,008","10,370,166,173"
ripple,"May 14, 2017",0.215179,0.223486,0.211186,0.220223,"69,732,000","8,435,834,460"
ripple,"May 13, 2017",0.206697,0.223602,0.186980,0.214878,"117,101,000","8,231,089,564"
ripple,"May 12, 2017",0.182760,0.209535,0.180984,0.206068,"123,635,000","7,893,614,816"
ripple,"May 11, 2017",0.185035,0.194828,0.162431,0.183135,"103,699,000","7,015,146,210"
ripple,"May 10, 2017",0.158471,0.201207,0.156363,0.186066,"138,792,000","7,062,242,804"
ripple,"May 09, 2017",0.199198,0.216890,0.134406,0.160074,"214,002,000","6,075,701,389"
ripple,"May 08, 2017",0.141620,0.237587,0.135105,0.198212,"402,611,008","7,523,251,269"
ripple,"May 07, 2017",0.101929,0.148274,0.098938,0.141763,"249,028,992","5,380,696,778"
ripple,"May 06, 2017",0.093429,0.106144,0.093429,0.101791,"88,394,200","3,863,536,365"
ripple,"May 05, 2017",0.080229,0.106935,0.078704,0.093551,"184,430,000","3,550,763,414"
ripple,"May 04, 2017",0.061062,0.085499,0.059283,0.078914,"153,374,000","2,995,241,761"
ripple,"May 03, 2017",0.053905,0.061435,0.052283,0.060490,"42,869,000","2,291,657,723"
ripple,"May 02, 2017",0.054646,0.055639,0.050710,0.053908,"33,814,700","2,042,306,875"
ripple,"May 01, 2017",0.051580,0.057779,0.049317,0.055115,"61,730,100","2,088,015,009"
ripple,"Apr 30, 2017",0.052807,0.054646,0.049574,0.051607,"41,974,200","1,955,141,293"
ripple,"Apr 29, 2017",0.044558,0.057719,0.044558,0.052868,"114,359,000","2,002,906,577"
ripple,"Apr 28, 2017",0.034843,0.045111,0.034784,0.044475,"81,121,600","1,684,931,017"
ripple,"Apr 27, 2017",0.032827,0.035377,0.032157,0.034816,"16,661,600","1,319,000,749"
ripple,"Apr 26, 2017",0.032390,0.033509,0.032183,0.032797,"11,921,700","1,242,504,322"
ripple,"Apr 25, 2017",0.031409,0.033826,0.031297,0.032346,"13,469,200","1,225,440,952"
ripple,"Apr 24, 2017",0.031236,0.031436,0.030739,0.031384,"6,333,250","1,188,991,865"
ripple,"Apr 23, 2017",0.031878,0.031974,0.030742,0.031278,"4,976,320","1,184,979,852"
ripple,"Apr 22, 2017",0.033122,0.033279,0.031422,0.031770,"9,020,550","1,203,588,927"
ripple,"Apr 21, 2017",0.029727,0.034044,0.029216,0.032779,"28,245,700","1,241,848,913"
ripple,"Apr 20, 2017",0.030259,0.030611,0.027493,0.029984,"25,650,400","1,135,930,239"
ripple,"Apr 19, 2017",0.033181,0.033387,0.029687,0.030173,"13,265,600","1,132,470,540"
ripple,"Apr 18, 2017",0.033638,0.034021,0.032866,0.033184,"8,970,210","1,245,454,117"
ripple,"Apr 17, 2017",0.033400,0.034060,0.032955,0.033655,"7,933,260","1,263,146,858"
ripple,"Apr 16, 2017",0.033880,0.034002,0.033194,0.033462,"5,980,280","1,255,906,871"
ripple,"Apr 15, 2017",0.033528,0.034281,0.033276,0.033955,"4,972,610","1,274,421,570"
ripple,"Apr 14, 2017",0.034262,0.035127,0.032986,0.033779,"8,869,300","1,267,808,374"
ripple,"Apr 13, 2017",0.034459,0.035574,0.033461,0.034383,"15,872,400","1,290,474,148"
ripple,"Apr 12, 2017",0.033002,0.034794,0.032477,0.034336,"13,437,000","1,288,159,076"
ripple,"Apr 11, 2017",0.033677,0.034576,0.032035,0.032952,"11,301,000","1,236,217,783"
ripple,"Apr 10, 2017",0.034123,0.035091,0.032806,0.033598,"12,012,700","1,260,475,812"
ripple,"Apr 09, 2017",0.035799,0.035799,0.032327,0.034020,"15,695,600","1,276,311,434"
ripple,"Apr 08, 2017",0.036355,0.036895,0.034932,0.035849,"14,782,600","1,344,932,467"
ripple,"Apr 07, 2017",0.032740,0.036935,0.030789,0.036320,"36,825,000","1,362,572,623"
ripple,"Apr 06, 2017",0.035672,0.036843,0.029463,0.032665,"48,264,600","1,225,461,865"
ripple,"Apr 05, 2017",0.037386,0.040178,0.035214,0.035544,"42,360,300","1,333,433,170"
ripple,"Apr 04, 2017",0.033032,0.040702,0.028324,0.037455,"78,538,096","1,405,100,818"
ripple,"Apr 03, 2017",0.060291,0.061594,0.027447,0.033023,"155,550,000","1,238,821,670"
ripple,"Apr 02, 2017",0.021938,0.071441,0.021696,0.061159,"230,622,000","2,294,347,627"
ripple,"Apr 01, 2017",0.021743,0.022798,0.019664,0.021892,"30,657,700","818,500,435"
ripple,"Mar 31, 2017",0.013049,0.021776,0.013049,0.020889,"72,699,400","781,029,219"
ripple,"Mar 30, 2017",0.010125,0.014126,0.010125,0.013276,"19,821,800","496,357,149"
ripple,"Mar 29, 2017",0.009526,0.010101,0.009520,0.010101,"3,344,230","377,677,110"
ripple,"Mar 28, 2017",0.009568,0.009644,0.009280,0.009514,"3,111,280","355,714,086"
ripple,"Mar 27, 2017",0.009482,0.010053,0.009155,0.009597,"6,336,150","358,830,082"
ripple,"Mar 26, 2017",0.009159,0.009840,0.009079,0.009545,"5,475,230","356,889,221"
